Date,Week,Workout,Exercise,Set,Target Reps,RIR,Weight,Reps Achieved,RIR Achieved,Notes
16/08/2026,1,Upper Power,Barbell Bench Press,1,5,3,70,5,2,
1:02:02,1,Upper Power,Barbell Bench Press,2,5,3,70,5,2,
,1,Upper Power,Barbell Bench Press,3,5,3,70,5,1,
,1,Upper Power,Barbell Bench Press,4,5,3,67.5,5,2,
,1,Upper Power,Barbell Row,1,5,3,55,5,3,
,1,Upper Power,Barbell Row,2,5,3,55,5,3,Feels easy 
,1,Upper Power,Barbell Row,3,5,3,60,5,3,
,1,Upper Power,Barbell Row,4,5,3,60,5,3,
,1,Upper Power,Overhead Press,1,6,3,40,6,2,
,1,Upper Power,Overhead Press,2,6,3,40,6,2,
,1,Upper Power,Overhead Press,3,6,3,40,6,1,Can go lighter here
,1,Upper Power,Weighted Pull-ups,1,6,3,10,6,2,
,1,Upper Power,Weighted Pull-ups,2,6,3,10,6,2,
,1,Upper Power,Weighted Pull-ups,3,6,3,10,6,1,
,1,Upper Power,Barbell Curl,1,8,3,7.25,8,4,
,1,Upper Power,Barbell Curl,2,8,3,8.75,8,2,
,1,Upper Power,Barbell Curl,3,8,3,8.75,8,1,
,1,Upper Power,Skull Crushers,1,8,3,7.5,8,3,
,1,Upper Power,Skull Crushers,2,8,3,7.5,9,3,
,1,Upper Power,Skull Crushers,3,8,3,7.5,8,2,
17/08/2026,1,Lower Power,Barbell Squat,1,5,3,60,5,3,
00:00:31,1,Lower Power,Barbell Squat,2,5,3,60,5,3,
,1,Lower Power,Barbell Squat,3,5,3,60,5,3,
,1,Lower Power,Barbell Squat,4,5,3,60,5,2,
,1,Lower Power,Deadlift,1,5,3,90,5,3,
,1,Lower Power,Deadlift,2,5,3,90,5,3,
,1,Lower Power,Deadlift,3,5,3,90,5,3,
,1,Lower Power,Deadlift,4,5,3,90,5,2,
,1,Lower Power,Leg Press,1,8,3,90,8,3,
,1,Lower Power,Leg Press,2,8,3,90,8,3,
,1,Lower Power,Leg Press,3,8,3,90,8,3,
,1,Lower Power,Leg Curl,1,8,3,57.5,8,2,
,1,Lower Power,Leg Curl,2,8,3,57.5,8,2,
,1,Lower Power,Leg Curl,3,8,3,57.5,8,2,
,1,Lower Power,Standing Calf Raise,1,10,3,25,10,3,
,1,Lower Power,Standing Calf Raise,2,10,3,25,10,3,
,1,Lower Power,Standing Calf Raise,3,10,3,25,10,3,
,1,Lower Power,Standing Calf Raise,4,10,3,25,10,3,
19/08/2026,1,Upper Hypertrophy,Incline Dumbbell Press,1,12,3,24,12,3,
1:20:22,1,Upper Hypertrophy,Incline Dumbbell Press,2,12,3,24,12,2,
,1,Upper Hypertrophy,Incline Dumbbell Press,3,12,3,22.5,12,1,
,1,Upper Hypertrophy,Incline Dumbbell Press,4,12,3,20,12,3,
